nohup: ignoring input
⛏️  Mining Irium Genesis Block...

Genesis Configuration:
  Timestamp: 1735689600
  Bits: 0x1d00ffff
  Target: 26959535291011309493156476344723991336010898738574164086137773096960
  Merkle root: a0bd470d94bf7ef20539a0a6e2bd30629795f0bad5160d0495e07e85e4a5db04
  Total vesting: 3500000.0 IRM

⛏️  Mining for valid nonce...
  Nonce: 38,400,000 | Hashrate: 205409.11 H/s
  Nonce: 38,500,000 | Hashrate: 205426.06 H/s
  Nonce: 38,600,000 | Hashrate: 205445.35 H/s
  Nonce: 38,700,000 | Hashrate: 205443.07 H/s
  Nonce: 38,800,000 | Hashrate: 205468.04 H/s
  Nonce: 38,900,000 | Hashrate: 205433.49 H/s
  Nonce: 39,000,000 | Hashrate: 205446.65 H/s
  Nonce: 39,100,000 | Hashrate: 205351.56 H/s
  Nonce: 39,200,000 | Hashrate: 205262.80 H/s
  Nonce: 39,300,000 | Hashrate: 205311.87 H/s
  Nonce: 39,400,000 | Hashrate: 205326.70 H/s
  Nonce: 39,500,000 | Hashrate: 205368.67 H/s
  Nonce: 39,600,000 | Hashrate: 205431.43 H/s
  Nonce: 39,700,000 | Hashrate: 205489.94 H/s
  Nonce: 39,800,000 | Hashrate: 205472.46 H/s
  Nonce: 39,900,000 | Hashrate: 205452.62 H/s
  Nonce: 40,000,000 | Hashrate: 205448.80 H/s
  Nonce: 40,100,000 | Hashrate: 205422.23 H/s
  Nonce: 40,200,000 | Hashrate: 205459.48 H/s
  Nonce: 40,300,000 | Hashrate: 205457.74 H/s
  Nonce: 40,400,000 | Hashrate: 205502.80 H/s
  Nonce: 40,500,000 | Hashrate: 205553.13 H/s
  Nonce: 40,600,000 | Hashrate: 205608.59 H/s
  Nonce: 40,700,000 | Hashrate: 205637.07 H/s
  Nonce: 40,800,000 | Hashrate: 205609.26 H/s
  Nonce: 40,900,000 | Hashrate: 205562.38 H/s
  Nonce: 41,000,000 | Hashrate: 205517.02 H/s
  Nonce: 41,100,000 | Hashrate: 205528.55 H/s
  Nonce: 41,200,000 | Hashrate: 205467.25 H/s
  Nonce: 41,300,000 | Hashrate: 205461.25 H/s
  Nonce: 41,400,000 | Hashrate: 205458.48 H/s
  Nonce: 41,500,000 | Hashrate: 205470.87 H/s
  Nonce: 41,600,000 | Hashrate: 205480.10 H/s
  Nonce: 41,700,000 | Hashrate: 205512.43 H/s
  Nonce: 41,800,000 | Hashrate: 205487.19 H/s
  Nonce: 41,900,000 | Hashrate: 205470.24 H/s
  Nonce: 42,000,000 | Hashrate: 205491.43 H/s
  Nonce: 42,100,000 | Hashrate: 205487.96 H/s
  Nonce: 42,200,000 | Hashrate: 205451.26 H/s
  Nonce: 42,300,000 | Hashrate: 205411.71 H/s
  Nonce: 42,400,000 | Hashrate: 205427.50 H/s
  Nonce: 42,500,000 | Hashrate: 205445.26 H/s
  Nonce: 42,600,000 | Hashrate: 205438.54 H/s
  Nonce: 42,700,000 | Hashrate: 205409.58 H/s
  Nonce: 42,800,000 | Hashrate: 205399.72 H/s
  Nonce: 42,900,000 | Hashrate: 205422.51 H/s
  Nonce: 43,000,000 | Hashrate: 205473.79 H/s
